command,intent
What time is it?,get_time
Can you tell me the time?,get_time
Current time please,get_time
Tell me the time,get_time
What’s the current hour?,get_time
Time now,get_time
Could you give me the time?,get_time
Do you know the time?,get_time
Time check,get_time
Show me the current time,get_time
I want to know the time,get_time
Give me the time now,get_time
Tell me the exact time,get_time
Please check the time,get_time
Read the current time,get_time
Show me what time it is,get_time
Clock time please,get_time
Tell me the present time,get_time
What does the clock say?,get_time
I need the time right now,get_time
Can you display the time?,get_time
Tell me the hour,get_time
Show clock details,get_time
"Jarvis, what's the time?",get_time
Report current time,get_time
Check clock for me,get_time
Give me today’s time,get_time
How late is it now?,get_time
What’s the time currently?,get_time
Tell me the updated time,get_time
Search Google for Python tutorials,search_google
Look up machine learning,search_google
Find AI articles on Google,search_google
Google best restaurants near me,search_google
Search Google for Jarvis projects,search_google
Find information about space on Google,search_google
Look up weather today,search_google
Google trending news,search_google
Search for stock prices on Google,search_google
Find nearby cafes,search_google
Google news about technology,search_google
Search Google for recipes,search_google
Find images on Google,search_google
Search Google for sports updates,search_google
Look up programming blogs,search_google
Google latest movies,search_google
Search Google for maps,search_google
Find nearby hospitals on Google,search_google
Google the meaning of AI,search_google
Look up coding resources,search_google
Search Google about AI research,search_google
Google the weather forecast,search_google
Look up news headlines on Google,search_google
Find tutorials on Google,search_google
Check Google for nearby gyms,search_google
Search Google for travel guides,search_google
Google funny memes,search_google
Look up sports results on Google,search_google
Search Google for famous quotes,search_google
Find trending topics on Google,search_google
Play music on YouTube,search_youtube
Search YouTube for cat videos,search_youtube
Find Python tutorials on YouTube,search_youtube
Play cooking videos on YouTube,search_youtube
Search YouTube for gaming videos,search_youtube
Look up JavaScript tutorials on YouTube,search_youtube
Play trending videos on YouTube,search_youtube
Find motivational speeches on YouTube,search_youtube
Search YouTube for workout videos,search_youtube
Play piano tutorials on YouTube,search_youtube
Look up movie trailers on YouTube,search_youtube
Search YouTube for meditation videos,search_youtube
Show YouTube comedy clips,search_youtube
Find news channels on YouTube,search_youtube
Search for educational videos on YouTube,search_youtube
Play YouTube shorts,search_youtube
Find football highlights on YouTube,search_youtube
Show me YouTube podcasts,search_youtube
Look for travel vlogs on YouTube,search_youtube
Search YouTube for interview videos,search_youtube
Play relaxing music on YouTube,search_youtube
Search YouTube for coding lectures,search_youtube
Look up stand-up comedy on YouTube,search_youtube
Search YouTube for history documentaries,search_youtube
Play live streams on YouTube,search_youtube
Find yoga classes on YouTube,search_youtube
Search YouTube for news live,search_youtube
Play science experiments on YouTube,search_youtube
Look up fashion vlogs on YouTube,search_youtube
Find YouTube gaming streams,search_youtube
Open Notepad,open_notepad
Start Notepad,open_notepad
Launch Notepad,open_notepad
Open a new Notepad file,open_notepad
