command,intent
jarvis time,get_time
time now please,get_time
what's the time,get_time
hey jarvis current time,get_time
hey jarvis what's the time,get_time
what's the time,get_time
what time is it now,get_time
time please please,get_time
what's the time for me,get_time
hey jarvis what's the time,get_time
what's the time please,get_time
current time,get_time
tell me the time for me,get_time
please time please,get_time
can you check time,get_time
what's the time,get_time
can you tell me the time,get_time
current time for me,get_time
time now now,get_time
give me the time,get_time
what time is it,get_time
please check time,get_time
can you current time,get_time
jarvis time for me,get_time
show time please,get_time
can you what time is it,get_time
please time now,get_time
what's the time,get_time
hey jarvis tell me the time,get_time
jarvis time for me,get_time
what's the time now,get_time
time now,get_time
please time please,get_time
can you check time,get_time
what time is it please,get_time
time please now,get_time
can you check time,get_time
current time now,get_time
what time is it now,get_time
hey jarvis current time,get_time
current time,get_time
jarvis time please,get_time
what time is it,get_time
can you time please,get_time
current time,get_time
can you give me the time,get_time
time please please,get_time
jarvis time,get_time
give me the time for me,get_time
give me the time please,get_time
jarvis time,get_time
please show time,get_time
time now now,get_time
check time please,get_time
what's the time,get_time
hey jarvis tell me the time,get_time
what's the time for me,get_time
what time is it for me,get_time
hey jarvis tell me the time,get_time
check time please,get_time
show time,get_time
hey jarvis give me the time,get_time
what's the time please,get_time
current time,get_time
what time is it please,get_time
time now now,get_time
give me the time,get_time
hey jarvis what time is it,get_time
can you jarvis time,get_time
tell me the time,get_time
time please,get_time
tell me the time for me,get_time
current time,get_time
jarvis time,get_time
please time please,get_time
current time now,get_time
show time,get_time
give me the time please,get_time
show time,get_time
can you what time is it,get_time
current time please,get_time
please jarvis time,get_time
jarvis time,get_time
what time is it,get_time
can you jarvis time,get_time
time now please,get_time
time please for me,get_time
current time please,get_time
time now,get_time
what's the time,get_time
what's the time,get_time
check time please,get_time
hey jarvis what time is it,get_time
jarvis time,get_time
tell me the time,get_time
tell me the time for me,get_time
what's the time for me,get_time
jarvis time,get_time
current time for me,get_time
current time,get_time
show time now,get_time
what time is it now,get_time
tell me the time for me,get_time
time now now,get_time
check time please,get_time
can you time now,get_time
hey jarvis what time is it,get_time
current time,get_time
jarvis time now,get_time
what time is it,get_time
hey jarvis jarvis time,get_time
current time,get_time
please what's the time,get_time
hey jarvis check time,get_time
time now now,get_time
time now,get_time
jarvis time for me,get_time
what's the time for me,get_time
what's the time now,get_time
can you give me the time,get_time
can you tell me the time,get_time
time please now,get_time
time please,get_time
can you jarvis time,get_time
show time,get_time
can you time please,get_time
time please,get_time
show time please,get_time
please what's the time,get_time
what time is it,get_time
please what time is it,get_time
please what time is it,get_time
time now,get_time
current time,get_time
jarvis time please,get_time
what's the time,get_time
what's the time now,get_time
check time,get_time
